999	7	14	25	28	22	28	11	34	12	17	18	10	13	15	25	28	22	34	17
7	999	19	25	23	16	22	18	27	6	21	11	15	11	16	25	23	16	27	21
14	19	999	18	42	35	42	8	40	25	5	28	4	14	10	18	42	35	40	5
25	25	18	999	46	37	44	26	29	30	14	25	19	13	10	0	46	37	29	14
28	23	42	46	999	9	2	39	30	17	44	20	38	33	38	46	0	9	30	44
22	16	35	37	9	999	7	34	23	10	36	11	31	25	30	37	9	0	23	36
28	22	42	44	2	7	999	39	28	16	43	19	37	32	37	44	2	7	28	43
11	18	8	26	39	34	39	999	43	23	13	29	7	18	17	26	39	34	43	13
34	27	40	29	30	23	28	43	999	26	38	16	37	25	30	29	30	23	0	38
12	6	25	30	17	10	16	23	26	999	27	9	21	16	21	30	17	10	26	27
17	21	5	14	44	36	43	13	38	27	999	27	8	13	7	14	44	36	38	0
18	11	28	25	20	11	19	29	16	9	27	999	24	14	20	25	20	11	16	27
10	15	4	19	38	31	37	7	37	21	8	24	999	11	9	19	38	31	37	8
13	11	14	13	33	25	32	18	25	16	13	14	11	999	5	13	33	25	25	13
15	16	10	10	38	30	37	17	30	21	7	20	9	5	999	10	38	30	30	7
25	25	18	0	46	37	44	26	29	30	14	25	19	13	10	999	999	999	999	999
28	23	42	46	0	9	2	39	30	17	44	20	38	33	38	999	999	999	999	999
22	16	35	37	9	0	7	34	23	10	36	11	31	25	30	999	999	999	999	999
34	27	40	29	30	23	28	43	0	26	38	16	37	25	30	999	999	999	999	999
17	21	5	14	44	36	43	13	38	27	0	27	8	13	7	999	999	999	999	999
