999	41	25	9	22	37	40	16	28	31	24	40	8	33	34	41	9	22	40	8
41	999	29	40	22	5	8	29	24	10	16	2	35	30	23	0	40	22	8	35
25	29	999	18	27	24	24	9	35	20	19	30	26	8	10	29	18	27	24	26
9	40	18	999	26	36	38	11	33	29	24	40	16	25	28	40	0	26	38	16
22	22	27	26	999	22	25	19	7	16	10	21	14	33	29	22	26	0	25	14
37	5	24	36	22	999	4	24	25	6	13	7	32	24	17	5	36	22	4	32
40	8	24	38	25	4	999	26	29	10	16	10	36	23	16	8	38	25	0	36
16	29	9	11	19	24	26	999	27	18	14	29	17	17	17	29	11	19	26	17
28	24	35	33	7	25	29	27	999	20	16	21	19	40	35	24	33	7	29	19
31	10	20	29	16	6	10	18	20	999	6	10	26	22	16	10	29	16	10	26
24	16	19	24	10	13	16	14	16	6	999	16	19	23	18	16	24	10	16	19
40	2	30	40	21	7	10	29	21	10	16	999	34	31	24	2	40	21	10	34
8	35	26	16	14	32	36	17	19	26	19	34	999	34	33	35	16	14	36	0
33	30	8	25	33	24	23	17	40	22	23	31	34	999	7	30	25	33	23	34
34	23	10	28	29	17	16	17	35	16	18	24	33	7	999	23	28	29	16	33
41	0	29	40	22	5	8	29	24	10	16	2	35	30	23	999	999	999	999	999
9	40	18	0	26	36	38	11	33	29	24	40	16	25	28	999	999	999	999	999
22	22	27	26	0	22	25	19	7	16	10	21	14	33	29	999	999	999	999	999
40	8	24	38	25	4	0	26	29	10	16	10	36	23	16	999	999	999	999	999
8	35	26	16	14	32	36	17	19	26	19	34	0	34	33	999	999	999	999	999
