999	10	7	14	10	10	13	18	13	10	12	10	10	14	9	10	18	13	10	9	999	10	7	14	10	10	13	18	13	10	12	10	11	14	9	10	18	13	11	9	999	10	7	14	10	10	13	18	13	10	12	10	8	14	9	10	18	13	8	9	999	10	7	14	10	10	13	18	13	10	12	10	9	14	9	10	18	13	9	9	999	10	7	14	10	10	13	18	13	10	12	10	10	14	9	10	18	13	10	9	999	10	7	14	10	10	13	18	13	10	12	10	10	14	9	10	18	13	10	9	999	10	7	14	10	10	13	18	13	10	12	10	9	14	9	10	18	13	9	9	999	10	7	14	10	10	13	18	13	10	12	10	9	14	9	10	18	13	9	9	999	10	7	14	10	10	13	18	13	10	12	10	13	14	9	10	18	13	13	9	999	10	7	14	10	10	13	18	13	10	12	10	11	14	9	10	18	13	11	9
10	999	4	15	11	5	10	15	5	18	2	1	12	15	16	0	15	5	12	16	10	999	4	15	11	5	10	15	5	18	2	1	12	15	16	0	15	5	12	16	10	999	4	15	11	5	10	15	5	18	2	1	12	15	16	0	15	5	12	16	10	999	4	15	11	5	10	15	5	18	2	1	12	15	16	0	15	5	12	16	10	999	4	15	11	5	10	15	6	18	2	1	12	15	16	0	15	6	12	16	10	999	3	15	11	5	10	15	5	18	2	1	12	15	16	0	15	5	12	16	10	999	4	15	11	5	10	15	11	18	2	1	12	15	16	0	15	11	12	16	10	999	7	15	11	5	10	15	9	18	2	3	12	15	16	0	15	9	12	16	10	999	3	15	11	5	10	15	5	18	2	1	12	15	16	0	15	5	12	16	10	999	4	15	11	5	10	15	5	18	2	1	12	15	16	0	15	5	12	16
7	4	999	12	8	3	8	13	6	14	5	5	9	12	12	4	13	6	9	12	7	4	999	12	8	4	8	13	6	14	5	7	9	12	12	4	13	6	9	12	7	4	999	12	8	4	8	13	6	14	5	5	9	12	12	4	13	6	9	12	7	4	999	12	8	4	8	13	6	14	5	5	9	12	12	4	13	6	9	12	7	4	999	12	8	5	8	13	6	14	5	6	9	12	12	4	13	6	9	12	7	3	999	12	8	3	8	13	6	14	5	6	9	12	12	3	13	6	9	12	7	4	999	12	8	4	8	13	6	14	5	5	9	12	12	4	13	6	9	12	7	7	999	12	8	5	8	13	6	14	5	7	9	12	12	7	13	6	9	12	7	3	999	12	8	3	8	13	6	14	5	5	9	12	12	3	13	6	9	12	7	4	999	12	8	4	8	13	6	14	5	5	9	12	12	4	13	6	9	12
14	15	12	999	5	9	6	7	14	10	16	17	6	1	8	15	7	14	6	8	14	15	12	999	5	9	6	7	14	10	16	17	6	1	8	15	7	14	6	8	14	15	12	999	5	9	6	7	14	10	16	17	6	1	8	15	7	14	6	8	14	15	12	999	4	9	6	7	14	10	16	17	6	1	8	15	7	14	6	8	14	15	12	999	6	9	6	7	14	10	16	17	6	1	8	15	7	14	6	8	14	15	12	999	7	9	6	10	14	10	16	17	6	1	8	15	10	14	6	8	14	15	12	999	5	9	6	7	14	10	16	17	6	1	8	15	7	14	6	8	14	15	12	999	5	9	6	6	14	10	16	17	6	1	8	15	6	14	6	8	14	15	12	999	5	9	6	7	14	10	16	17	6	1	8	15	7	14	6	8	14	15	12	999	6	9	6	7	14	10	16	17	6	1	8	15	7	14	6	8
10	11	8	5	999	6	5	11	11	10	13	13	4	4	6	11	11	11	4	6	10	11	8	5	999	6	5	9	11	9	13	13	3	4	6	11	9	11	3	6	10	11	8	5	999	6	5	9	11	10	13	13	3	4	6	11	9	11	3	6	10	11	8	4	999	6	5	11	11	9	13	13	3	4	6	11	11	11	3	6	10	11	8	6	999	6	5	9	11	9	13	13	3	5	6	11	9	11	3	6	10	11	8	7	999	6	5	13	11	11	13	13	3	6	6	11	13	11	3	6	10	11	8	5	999	6	5	10	11	11	13	13	3	4	6	11	10	11	3	6	10	11	8	5	999	6	5	11	11	10	13	13	3	4	6	11	11	11	3	6	10	11	8	5	999	6	5	9	11	13	13	13	3	4	6	11	9	11	3	6	10	11	8	6	999	6	5	11	11	9	13	13	3	4	6	11	11	11	3	6
10	5	3	9	6	999	5	10	5	14	6	7	8	9	12	5	10	5	8	12	10	5	4	9	6	999	5	10	5	14	6	7	8	9	12	5	10	5	8	12	10	5	4	9	6	999	7	10	5	14	6	7	8	9	12	5	10	5	8	12	10	5	4	9	6	999	10	10	5	14	6	7	8	9	12	5	10	5	8	12	10	5	5	9	6	999	7	10	5	14	6	7	8	9	12	5	10	5	8	12	10	5	3	9	6	999	6	10	5	14	6	7	8	9	12	5	10	5	8	12	10	5	4	9	6	999	5	10	5	14	6	7	8	9	12	5	10	5	8	12	10	5	5	9	6	999	5	10	5	14	6	7	8	9	12	5	10	5	8	12	10	5	3	9	6	999	5	10	5	14	6	7	8	9	12	5	10	5	8	12	10	5	4	9	6	999	6	10	5	14	6	7	8	9	12	5	10	5	8	12
13	10	8	6	5	5	999	6	8	14	11	12	8	6	12	10	6	8	8	12	13	10	8	6	5	5	999	6	8	14	11	12	8	6	12	10	6	8	8	12	13	10	8	6	5	7	999	7	8	14	11	12	8	6	12	10	7	8	8	12	13	10	8	6	5	10	999	12	8	14	11	12	8	6	12	10	12	8	8	12	13	10	8	6	5	7	999	6	8	14	11	12	8	6	12	10	6	8	8	12	13	10	8	6	5	6	999	7	8	14	11	12	8	6	12	10	7	8	8	12	13	10	8	6	5	5	999	5	8	14	11	12	8	6	12	10	5	8	8	12	13	10	8	6	5	5	999	6	8	14	11	12	8	6	12	10	6	8	8	12	13	10	8	6	5	5	999	5	8	14	11	12	8	6	12	10	5	8	8	12	13	10	8	6	5	6	999	5	8	14	11	12	8	6	12	10	5	8	8	12
18	15	13	7	11	10	6	999	12	17	16	16	12	7	15	15	0	12	12	15	18	15	13	7	9	10	6	999	12	17	16	16	12	7	15	15	0	12	12	15	18	15	13	7	9	10	7	999	12	17	16	16	12	7	15	15	0	12	12	15	18	15	13	7	11	10	12	999	12	17	16	16	12	7	15	15	0	12	12	15	18	15	13	7	9	10	6	999	12	17	16	16	12	7	15	15	0	12	12	15	18	15	13	10	13	10	7	999	12	17	16	16	12	7	15	15	0	12	12	15	18	15	13	7	10	10	5	999	12	17	16	16	12	7	15	15	0	12	12	15	18	15	13	6	11	10	6	999	12	17	16	16	12	7	15	15	0	12	12	15	18	15	13	7	9	10	5	999	12	17	16	16	12	7	15	15	0	12	12	15	18	15	13	7	11	10	5	999	12	17	16	16	12	7	15	15	0	12	12	15
13	5	6	14	11	5	8	12	999	19	5	5	13	14	17	5	12	0	13	17	13	5	6	14	11	5	8	12	999	19	5	5	13	14	17	5	12	0	13	17	13	5	6	14	11	5	8	12	999	19	4	5	13	14	17	5	12	0	13	17	13	5	6	14	11	5	8	12	999	19	5	5	13	14	17	5	12	0	13	17	13	6	6	14	11	5	8	12	999	19	6	5	13	14	17	6	12	0	13	17	13	5	6	14	11	5	8	12	999	19	4	5	13	14	17	5	12	0	13	17	13	11	6	14	11	5	8	12	999	19	7	5	13	14	17	11	12	0	13	17	13	9	6	14	11	5	8	12	999	19	5	5	13	14	17	9	12	0	13	17	13	5	6	14	11	5	8	12	999	19	4	5	13	14	17	5	12	0	13	17	13	5	6	14	11	5	8	12	999	19	5	5	13	14	17	5	12	0	13	17
10	18	14	10	10	14	14	17	19	999	20	19	5	9	3	18	17	19	5	3	10	18	14	10	9	14	14	17	19	999	20	19	5	9	2	18	17	19	5	2	10	18	14	10	10	14	14	17	19	999	20	19	5	9	2	18	17	19	5	2	10	18	14	10	9	14	14	17	19	999	20	19	5	9	2	18	17	19	5	2	10	18	14	10	9	14	14	17	19	999	20	19	5	9	2	18	17	19	5	2	10	18	14	10	11	14	14	17	19	999	20	19	5	9	2	18	17	19	5	2	10	18	14	10	11	14	14	17	19	999	20	19	5	9	2	18	17	19	5	2	10	18	14	10	10	14	14	17	19	999	20	19	5	9	2	18	17	19	5	2	10	18	14	10	13	14	14	17	19	999	20	19	5	9	3	18	17	19	5	3	10	18	14	10	9	14	14	17	19	999	20	19	5	9	2	18	17	19	5	2
