999	20	14	29	20	20	27	37	27	21	24	21	17	28	19	20	37	27	17	19
20	999	7	31	23	11	21	30	9	36	4	3	25	30	32	0	30	9	25	32
14	7	999	25	16	7	17	27	12	29	11	9	18	24	25	7	27	12	18	25
29	31	25	999	9	19	12	13	28	21	33	34	13	2	17	31	13	28	13	17
20	23	16	9	999	12	11	18	22	18	26	26	6	8	13	23	18	22	6	13
20	11	7	19	12	999	10	20	10	29	13	14	17	19	24	11	20	10	17	24
27	21	17	12	11	10	999	10	16	29	22	24	17	13	24	21	10	16	17	24
37	30	27	13	18	20	10	999	24	34	32	33	24	15	30	30	0	24	24	30
27	9	12	28	22	10	16	24	999	39	8	11	27	28	34	9	24	0	27	34
21	36	29	21	18	29	29	34	39	999	40	38	11	19	4	36	34	39	11	4
24	4	11	33	26	13	22	32	8	40	999	3	29	33	36	4	32	8	29	36
21	3	9	34	26	14	24	33	11	38	3	999	28	33	35	3	33	11	28	35
17	25	18	13	6	17	17	24	27	11	29	28	999	11	7	25	24	27	0	7
28	30	24	2	8	19	13	15	28	19	33	33	11	999	15	30	15	28	11	15
19	32	25	17	13	24	24	30	34	4	36	35	7	15	999	32	30	34	7	0
20	0	7	31	23	11	21	30	9	36	4	3	25	30	32	999	999	999	999	999
37	30	27	13	18	20	10	0	24	34	32	33	24	15	30	999	999	999	999	999
27	9	12	28	22	10	16	24	0	39	8	11	27	28	34	999	999	999	999	999
17	25	18	13	6	17	17	24	27	11	29	28	0	11	7	999	999	999	999	999
19	32	25	17	13	24	24	30	34	4	36	35	7	15	0	999	999	999	999	999
