999	31	36	9	21	19	23	33	5	19	5	23	15	22	34	19	23	33	5	34
31	999	15	24	10	13	34	29	29	16	26	17	19	31	12	13	34	29	29	12
36	15	999	26	22	17	28	16	36	16	30	12	30	25	3	17	28	16	36	3
9	24	26	999	16	11	17	24	11	10	3	14	14	16	25	11	17	24	11	25
21	10	22	16	999	8	30	30	18	12	17	17	9	28	19	8	30	30	18	19
19	13	17	11	8	999	22	22	18	4	14	8	14	20	15	0	22	22	18	15
23	34	28	17	30	22	999	15	27	18	19	17	31	2	29	22	0	15	27	29
33	29	16	24	30	22	15	999	36	18	28	13	35	13	19	22	15	0	36	19
5	29	36	11	18	18	27	36	999	19	8	24	11	27	34	18	27	36	0	34
19	16	16	10	12	4	18	18	19	999	13	5	17	16	15	4	18	18	19	15
5	26	30	3	17	14	19	28	8	13	999	17	13	18	28	14	19	28	8	28
23	17	12	14	17	8	17	13	24	5	17	999	22	14	12	8	17	13	24	12
15	19	30	14	9	14	31	35	11	17	13	22	999	30	28	14	31	35	11	28
22	31	25	16	28	20	2	13	27	16	18	14	30	999	26	20	2	13	27	26
34	12	3	25	19	15	29	19	34	15	28	12	28	26	999	15	29	19	34	0
19	13	17	11	8	0	22	22	18	4	14	8	14	20	15	999	999	999	999	999
23	34	28	17	30	22	0	15	27	18	19	17	31	2	29	999	999	999	999	999
33	29	16	24	30	22	15	0	36	18	28	13	35	13	19	999	999	999	999	999
5	29	36	11	18	18	27	36	0	19	8	24	11	27	34	999	999	999	999	999
34	12	3	25	19	15	29	19	34	15	28	12	28	26	0	999	999	999	999	999
